Column1,Doc0,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Column2
x,0,0,0,2,0,0,0,0,2
yield,0,0,0,0,0,2,0,0,2
8,0,0,0,1,0,0,0,0,1
10-Apr,0,1,0,0,0,0,0,0,1
12,0,1,0,0,0,0,0,0,1
13,0,1,0,0,0,0,0,0,1
13-Feb,0,1,0,0,0,0,0,0,1
13-Mar,0,1,0,0,0,0,0,0,1
14,0,1,0,0,0,0,0,0,1
16,0,1,0,0,0,0,0,0,1
17-Apr,0,1,0,0,0,0,0,0,1
1henk,0,0,1,0,0,0,0,0,1
1-May,0,1,0,0,0,0,0,0,1
20,0,1,0,0,0,0,0,0,1
2016,0,0,0,0,0,0,0,1,1
20958144227,0,0,0,1,0,0,0,0,1
20-Feb,0,1,0,0,0,0,0,0,1
20-Mar,0,1,0,0,0,0,0,0,1
21,0,1,0,0,0,0,0,0,1
23-Jan,0,1,0,0,0,0,0,0,1
24-Apr,0,1,0,0,0,0,0,0,1
25,0,1,0,0,0,0,0,0,1
26,0,1,0,0,0,0,0,0,1
29,0,1,0,0,0,0,0,0,1
2henkel,0,0,1,0,0,0,0,0,1
30feb,0,1,0,0,0,0,0,0,1
317,0,0,1,0,0,0,0,0,1
330450,0,0,0,0,0,0,1,0,1
356,0,0,1,0,0,0,0,0,1
379,1,0,0,0,0,0,0,0,1
3-Apr,0,1,0,0,0,0,0,0,1
3hua,0,0,1,0,0,0,0,0,1
4huang,0,0,1,0,0,0,0,0,1
500,0,0,0,0,0,0,0,1,1
500620,1,0,0,0,0,0,0,0,1
5330,0,0,0,0,0,0,1,0,1
5ma,0,0,1,0,0,0,0,0,1
612,0,1,0,0,0,0,0,0,1
620,0,0,0,0,0,0,0,1,1
6-Feb,0,1,0,0,0,0,0,0,1
6-Mar,0,1,0,0,0,0,0,0,1
6xu,0,0,1,0,0,0,0,0,1
7,0,1,0,0,0,0,0,0,1
7330,0,0,0,0,0,0,1,0,1
7zhou,0,0,1,0,0,0,0,0,1
8zou,0,0,1,0,0,0,0,0,1
9,0,1,0,0,0,0,0,0,1
about,0,0,0,0,0,1,0,0,1
abov,0,0,0,0,0,1,0,0,1
advertis,0,1,0,0,0,0,0,0,1
agent,0,1,0,0,0,0,0,0,1
alejandroproctor,0,0,1,0,0,0,0,0,1
all,0,0,0,0,0,0,0,1,1
alon,0,0,0,0,0,1,0,0,1
an,0,0,0,0,0,0,1,0,1
analysi,0,1,0,0,0,0,0,0,1
array,0,0,0,0,1,0,0,0,1
arraylens1,0,0,0,0,1,0,0,0,1
as,0,1,0,0,0,0,0,0,1
bad,0,1,0,0,0,0,0,0,1
bigram,0,1,0,0,0,0,0,0,1
boolean,0,1,0,0,0,0,0,0,1
break,0,1,0,0,0,0,0,0,1
brief,0,0,0,0,0,0,1,0,1
calcul,0,0,0,0,1,0,0,0,1
canva,0,0,0,0,0,0,0,1,1
carrot2,0,0,0,0,0,1,0,0,1
catch,0,1,0,0,0,0,0,0,1
charact,0,0,0,0,1,0,0,0,1
chrisproctor,0,0,1,0,0,0,0,0,1
cluster,0,1,0,0,0,0,0,0,1
common,0,0,0,0,0,1,0,0,1
